City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
137,Esperance,AU,-33.87,121.9,64.4,52,90,11.41,overcast clouds,0.0,0.0
138,Roma,US,43.21,-75.46,30.99,80,90,3.36,overcast clouds,0.0,0.0
139,Kuryk,KZ,43.2,51.65,33.57,81,100,8.28,overcast clouds,0.0,0.0
140,Knysna,ZA,-34.04,23.05,65.68,80,0,1.86,clear sky,0.0,0.0
141,Flin Flon,CA,54.77,-101.86,11.55,96,88,4.45,overcast clouds,0.0,0.0
142,Muscat,OM,23.61,58.59,57.2,58,0,4.7,clear sky,0.0,0.0
143,Konice,CZ,49.59,16.89,39.99,99,100,7.49,light rain,0.49,0.0
144,Kaitangata,NZ,-46.28,169.85,59.99,93,100,7.56,overcast clouds,0.0,0.0
145,Sao Raimundo Nonato,BR,-9.02,-42.7,76.53,63,5,1.48,clear sky,0.0,0.0
146,Paamiut,GL,61.99,-49.67,28.49,98,100,12.68,snow,0.0,0.51
147,Opuwo,NA,-18.06,13.84,65.35,66,98,3.42,overcast clouds,0.0,0.0
148,Port Elizabeth,ZA,-33.92,25.57,60.8,93,0,5.17,clear sky,0.0,0.0
149,Morehead,US,37.27,-87.18,39.99,86,90,1.03,overcast clouds,0.0,0.0
150,Fortuna,US,40.6,-124.16,54.0,81,90,11.41,overcast clouds,0.0,0.0
151,Pisco,PE,-13.7,-76.22,68.0,88,0,17.22,clear sky,0.0,0.0
152,Athabasca,CA,54.72,-113.29,28.4,74,100,4.7,light snow,0.0,0.15
153,Ballina,AU,-28.87,153.57,82.4,74,75,14.99,broken clouds,0.0,0.0
154,Uyovu,TZ,-3.28,31.53,63.37,97,100,3.31,light rain,0.59,0.0
155,Danane,CI,7.26,-8.15,72.12,95,44,2.35,scattered clouds,0.0,0.0
156,Carnarvon,AU,-24.87,113.63,80.6,78,40,13.87,scattered clouds,0.0,0.0
157,Clyde River,CA,70.47,-68.59,-20.2,75,1,6.93,clear sky,0.0,0.0
158,Corn Island,NI,12.17,-83.04,81.07,79,5,23.15,clear sky,0.0,0.0
159,Broome,US,42.25,-75.83,33.01,86,90,8.05,overcast clouds,0.0,0.0
160,Mayor Pablo Lagerenza,PY,-19.93,-60.77,83.1,52,43,4.76,scattered clouds,0.0,0.0
161,Qaqortoq,GL,60.72,-46.03,30.2,80,85,1.12,light shower snow,0.0,0.21
162,Sambava,MG,-14.27,50.17,76.55,85,60,12.88,light rain,0.57,0.0
163,Hami,CN,42.8,93.45,12.33,87,3,9.8,clear sky,0.0,0.0
164,San Luis Rio Colorado,MX,32.46,-114.78,64.4,27,1,3.36,clear sky,0.0,0.0
165,Abu Zabad,SD,12.35,29.25,64.76,33,40,11.07,scattered clouds,0.0,0.0
166,Tskneti,GE,41.69,44.69,30.2,92,40,3.36,mist,0.0,0.0
167,Bereda,ES,43.27,-7.54,37.0,100,58,1.99,broken clouds,0.0,0.0
168,Antigonish,CA,45.62,-62.0,32.0,97,100,3.0,snow,0.0,1.33
169,Olavarria,AR,-36.89,-60.32,81.0,39,0,1.99,clear sky,0.0,0.0
170,Sergeyevka,KZ,53.88,67.42,-18.69,86,31,7.63,scattered clouds,0.0,0.0
171,Kahului,US,20.89,-156.47,82.4,54,40,20.8,scattered clouds,0.0,0.0
172,Berlevag,NO,70.86,29.09,25.79,93,13,8.95,few clouds,0.0,0.0
173,Teguldet,RU,57.31,88.17,-21.57,86,100,5.82,overcast clouds,0.0,0.0
174,Curup,ID,-3.47,102.53,77.94,73,43,1.79,scattered clouds,0.0,0.0
175,Kavieng,PG,-2.57,150.8,86.14,67,20,10.42,few clouds,0.0,0.0
176,Bria,CF,6.54,21.99,66.45,40,59,2.35,broken clouds,0.0,0.0
177,Ziguinchor,SN,12.58,-16.27,68.97,43,0,5.84,clear sky,0.0,0.0
178,Mount Gambier,AU,-37.83,140.77,69.8,73,90,16.11,overcast clouds,0.0,0.0
179,Itamaraca,BR,-7.75,-34.83,78.8,69,40,8.05,scattered clouds,0.0,0.0
180,Cam Ranh,VN,11.92,109.16,78.8,69,75,14.99,broken clouds,0.0,0.0
